;;;;;;;;;;;;;;
BOX 402;Consulta Otorrino. Anexo .;;;;;;;BOX 403;Procedimientos de Otorrino;;;;;
17:20;;"Otorrino      J. Parra ""17:15 a 19:00""";;;;;;17:20;;;;;;
17:40;;;;;;;;17:40;;;;;;
18:00;;;;;;;;18:00;;;;;;
18:20;;;;;;;;18:20;;;;;;
18:40;;;;;;;;18:40;;;;;;
19:00;;;;;;;;19:00;;;;;;
19:20;;;;;;;;19:20;;;;;;
19:40;;;;;;;;19:40;;;;;;
20:00;;;;;;;;20:00;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BOX 404;Procedimientos de Otorrino. Anexo 3913.;;;;;;;BOX 405;Procedimientos Oftalmologia;;;;;
;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO;;;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO
8:15;;;;;;;;8:15;;;;;;
8:40;"TM D. Hering ""08:30 a 13:00""";"TM D. Hering ""08:30 a 13:00""";"TM D. Hering ""08:30 a 13:00""";"TM D. Hering ""08:30 a 13:00""";"TM D. Hering ""08:30 a 13:00""";;;8:40;;;;;;
9:00;;;;;;;;9:00;;;;;;
9:20;;;;;;;;9:20;;;;;;
9:40;;;;;;;;9:40;;;;;;
10:00;;;;;;;;10:00;;;;;;
10:20;;;;;;;;10:20;;;;;;
10:40;;;;;;;;10:40;;;;;;
11:00;;;;;;;;11:00;;;;;;
11:20;;;;;;;;11:20;;;;;;
11:40;;;;;;;;11:40;;;;;;
12:00;;;;;;;;12:00;;;;;;
12:20;;;;;;;;12:20;;;;;;
12:40;;;;;;;;12:40;;;;;;
13:00;;;;;;;;13:00;;;;;;
13:20;;;;;;;;13:20;;;;;;
13:40;;;;;;;;13:40;;;;;;
14:00;"TM D. Hering ""14:00 a 17:00""";"TM D. Hering ""14:00 a 17:00""";"TM D. Hering ""14:00 a 17:00""";"TM D. Hering ""14:00 a 17:00""";"TM D. Hering ""14:00 a 16:00""";;;14:00;;;;;;
14:20;;;;;;;;14:20;;;;;;
14:40;;;;;;;;14:40;;;;;;
15:00;;;;;;;;15:00;;;;;;
15:20;;;;;;;;15:20;;;;;;
15:40;;;;;;;;15:40;;;;;;
16:00;;;;;;;;16:00;;;;;;
16:20;;;;;;;;16:20;;;;;;
16:40;;;;;;;;16:40;;;;;;
17:00;;;;;;;;17:00;;;;;;
17:20;;;;;;;;17:20;;;;;;
17:40;;;;;;;;17:40;;;;;;
18:00;;;;;;;;18:00;;;;;;
18:20;;;;;;;;18:20;;;;;;
18:40;;;;;;;;18:40;;;;;;
19:00;;;;;;;;19:00;;;;;;
19:20;;;;;;;;19:20;;;;;;
19:40;;;;;;;;19:40;;;;;;
20:00;;;;;;;;20:00;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BOX 406;Consulta Oftalmologia. Anexo 3906.;;;;;;;BOX 407;Consulta Oftalmologia. Anexo 3907.;;;;;
;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO;;;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO
8:15;;;;;;;;8:15;;;;;;
8:40;;"Oftalmologia    F. Yanine     ""08:30 a 14:00""";"Oftalmologia     J. Villalba ""08:30 a 13:00"" 



";"Oftalmologia    C. Malch    ""08:30 a 14:00""";"Oftalmologia     J. Villalba ""08:30 a 14:00""";;;8:40;;;;C DURAN SOLO POR 16/5 8:30 A 10:30;"Oftalmologia    C. Duran   ""08:30 a 14:15""";
9:00;;;;;;GERMAN BRIEBA SOLO POR 15/5 9:00 A 13:00;;9:00;"Oftalmologia  German Brieba ""09:00 a 13:30""   ";"Oftalmologia    R. Navarrete    ""09:00 a 14:00""";;;;"Oftalmologia    F. Peña       ""09:00 a 13:00"""
9:20;;;;;;;;9:20;;;;;;
9:40;;;;;;;;9:40;;;;;;
10:00;;;;;;;;10:00;;;;;;
10:20;;;;;;;;10:20;;;;;;
10:40;;;;;;;;10:40;;;;"Oftalmologia    C. Duran   ""10:30 a 19:15""";;
11:00;;;;;;;;11:00;;;;;;
11:20;;;;;;;;11:20;;;;;;
11:40;;;;;;;;11:40;;;;;;
12:00;;;;;;;;12:00;;;"Oftalmologia    C. Duran   ""12:00 a 19:15"" ";;;
12:20;;;;;;;;12:20;;;;;;
12:40;;;;;;;;12:40;;;;;;
13:00;;;;;;;;13:00;;;;;;
13:20;;;;;;;;13:20;;;;;;
13:40;;;;;;;;13:40;;;;;;
14:00;;;"Oftalmologia    J. Villalba      ""14:00 a 18:45""";;;;;14:00;;;;;;
14:20;;"Oftalmologia    F. Yanine     ""14:15 a 18:00""";;;;;;14:20;;;;;;
14:40;;;;"Oftalmologia    R. Navarrete    ""14:30 a 18:45""";"Oftalmologia    J. Villalba      ""14:30 a 18:45""";;;14:40;"Oftalmologia  German Brieba    ""14:30 a 19:00""";"Oftalmologia    R. Navarrete    ""14:30 a 18:45""";;;"Oftalmologia    R. Navarrete    ""14:30 a 18:45"" ";
15:00;"Oftalmologia    F. Peña       ""14:30 a 18:30""";;;;;;;15:00;;;;;;
15:20;;;;;;;;15:20;;;;;;
15:40;;;;;;;;15:40;;;;;;
16:00;;;;;;;;16:00;;;;;;
16:20;;;;;;;;16:20;;;;;;
16:40;;;;;;;;16:40;;;;;;
17:00;;;;;;;;17:00;;;;;;
17:20;;;;;;;;17:20;;;;;;
17:40;;;;;;;;17:40;;;;;;
18:00;;;;;;;;18:00;;;;;;
18:20;;;;;;;;18:20;;;;;;
18:40;;;;;;;;18:40;;;;;;
19:00;;;;;;;;19:00;;;;;;
19:20;;;;;;;;19:20;;;;;;
19:40;;;;;;;;19:40;;;;;;
20:00;;;;;;;;20:00;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BOX 408;Procedimientos Oftalmologia;;;;;;;BOX 409;Procedimientos Oftalmologia;;;;;
;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO;;;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO
8:15;;;;;;;;8:15;;;;;;
8:40;;;;;;;;8:40;;;;;;
9:00;;;;;;;;9:00;;;;;;
9:20;;;;;;;;9:20;;;;;;
9:40;;;;;;;;9:40;;;;;;
10:00;;;;;;;;10:00;;;;;;
10:20;;;;;;;;10:20;;;;;;
10:40;;;;;;;;10:40;;;;;;
11:00;;;;;;;;11:00;;;;;;
11:20;;;;;;;;11:20;;;;;;
11:40;;;;;;;;11:40;;;;;;
12:00;;;;;;;;12:00;;;;;;
12:20;;;;;;;;12:20;;;;;;
12:40;;;;;;;;12:40;;;;;;
13:00;;;;;;;;13:00;;;;;;
13:20;;;;;;;;13:20;;;;;;
13:40;;;;;;;;13:40;;;;;;
14:00;;;;;;;;14:00;;;;;;
14:20;;;;;;;;14:20;;;;;;
14:40;;;;;;;;14:40;;;;;;
15:00;;;;;;;;15:00;;;;;;
15:20;;;;;;;;15:20;;;;;;
15:40;;;;;;;;15:40;;;;;;
16:00;;;;;;;;16:00;;;;;;
16:20;;;;;;;;16:20;;;;;;
16:40;;;;;;;;16:40;;;;;;
17:00;;;;;;;;17:00;;;;;;
17:20;;;;;;;;17:20;;;;;;
17:40;;;;;;;;17:40;;;;;;
18:00;;;;;;;;18:00;;;;;;
18:20;;;;;;;;18:20;;;;;;
18:40;;;;;;;;18:40;;;;;;
19:00;;;;;;;;19:00;;;;;;
19:20;;;;;;;;19:20;;;;;;
19:40;;;;;;;;19:40;;;;;;
20:00;;;;;;;;20:00;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BOX 410;Procedimientos Oftalmologia;;;;;;;BOX 411;Procedimientos Oftalmologia;;;;;
;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO;;;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO
8:15;Curva tension 08:15 a 09:00;Curva tension 08:15 a 09:00;Curva tension 08:15 a 09:00;Curva tension 08:15 a 09:00;Curva tension 08:15 a 09:00;;;8:15;;;;;;
8:40;;;;;;"Proc. Oftalmologia  ""08:30 a 11:45""";;8:40;;;;;;
9:00;;;;;;;;9:00;;;;;;
9:20;"Proc. Oftalmologia  ""09:00 a 17:15""";"Proc. Oftalmologia  ""09:00 a 17:15""";"Proc. Oftalmologia  ""09:00 a 17:15""";"Proc. Oftalmologia  ""09:00 a 17:15""";"Proc. Oftalmologia  ""09:00 a 17:15""";;;9:20;;;;;;
9:40;;;;;;;;9:40;;;;;;
10:00;;;;;;;;10:00;;;;;;
10:20;;;;;;;;10:20;;;;;;
10:40;;;;;;;;10:40;;;;;;
11:00;;;;;;;;11:00;;;;;;
11:20;;;;;;;;11:20;;;;;;
11:40;;;;;;"Proc. Oftalmologia  ""11:45 a 13:00""";;11:40;;;;;;
12:00;;;;;;;;12:00;;;;;;
12:20;;;;;;;;12:20;;;;;;
12:40;;;;;;;;12:40;;;;;;
13:00;;;;;;;;13:00;;;;;;
13:20;;;;;;;;13:20;;;;;;
13:40;;;;;;;;13:40;;;;;;
14:00;;;;;;;;14:00;;;;;;
14:20;;;;;;;;14:20;;;;;;
14:40;;;;;;;;14:40;;;;;;
15:00;;;;;;;;15:00;;;;;;
15:20;;;;;;;;15:20;;;;;;
15:40;;;;;;;;15:40;;;;;;
16:00;;;;;;;;16:00;;;;;;
16:20;;;;;;;;16:20;;;;;;
16:40;;;;;;;;16:40;;;;;;
17:00;;;;;;;;17:00;;;;;;
17:20;"Proc. Oftalmologia  ""17:15 a 18:45""";"Proc. Oftalmologia  ""17:15 a 18:45""";"Proc. Oftalmologia  ""17:15 a 18:45""";"Proc. Oftalmologia  ""17:15 a 18:45""";"Proc. Oftalmologia  ""17:15 a 18:45""";;;17:20;;;;;;
17:40;;;;;;;;17:40;;;;;;
18:00;;;;;;;;18:00;;;;;;
18:20;;;;;;;;18:20;;;;;;
18:40;;;;;;;;18:40;;;;;;
19:00;;;;;;;;19:00;;;;;;
19:20;;;;;;;;19:20;;;;;;
19:40;;;;;;;;19:40;;;;;;
20:00;;;;;;;;20:00;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BOX 412;Procedimientos Otorrino;;;;;;;BOX 413;Procedimientos Oftalmologia;;;;;
;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO;;;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO
8:15;;;;;;;;8:15;;;;;;
8:40;;;;;;;;8:40;;;;;;
9:00;;;;;;;;9:00;;;;;;
9:20;;;;;;;;9:20;;;;;;
9:40;;;;;;;;9:40;;;;;;
10:00;;;;;;;;10:00;;;;;;
10:20;;;;;;;;10:20;;;;;;
10:40;;;;;;;;10:40;;;;;;
11:00;;;;;;;;11:00;;;;;;
11:20;;;;;;;;11:20;;;;;;
11:40;;;;;;;;11:40;;;;;;
12:00;;;;;;;;12:00;;;;;;
12:20;;;;;;;;12:20;;;;;;
12:40;;;;;;;;12:40;;;;;;
13:00;;;;;;;;13:00;;;;;;
13:20;;;;;;;;13:20;;;;;;
13:40;;;;;;;;13:40;;;;;;
14:00;;;;;;;;14:00;;;;;;
14:20;;;;;;;;14:20;;;;;;
14:40;;;;;;;;14:40;;;;;;
15:00;;;;;;;;15:00;;;;;;
15:20;;;;;;;;15:20;;;;;;
15:40;;;;;;;;15:40;;;;;;
16:00;;;;;;;;16:00;;;;;;
16:20;;;;;;;;16:20;;;;;;
16:40;;;;;;;;16:40;;;;;;
17:00;;;;;;;;17:00;;;;;;
17:20;;;;;;;;17:20;;;;;;
17:40;;;;;;;;17:40;;;;;;
18:00;;;;;;;;18:00;;;;;;
18:20;;;;;;;;18:20;;;;;;
18:40;;;;;;;;18:40;;;;;;
19:00;;;;;;;;19:00;;;;;;
19:20;;;;;;;;19:20;;;;;;
19:40;;;;;;;;19:40;;;;;;
20:00;;;;;;;;20:00;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BOX 414;Consulta Oftalmologia. Anexo 3906.;;;;;;;BOX 415;Consulta Otorrino. Anexo 3915.;;;;;
;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO;;;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO
8:15;;;;;;;;8:15;;;;;;"Fonoaudiologia P. Lopez       ""08:20 a 14:00"""
8:40;"Oftalmologia    C. Malch    ""08:30 a 14:00";"Oftalmologia    C. Malch    ""08:30 a 14:00""";"Oftalmologia    F. Yanine    ""08:30 a 14:00"" ";;"Oftalmologia    C. Malch    ""08:30 a 18:45""";;;8:40;;;;"Fonoaud. J.P. Alvarez ""08:30 a 13:00""";;
9:00;;;;"Oftalmologia  German Brieba  ""09:00 a 13:00""";;;;9:00;;;;;;
9:20;;;;;;;;9:20;;;;;;
9:40;;;;;;;;9:40;;;;;;
10:00;;;;;;;;10:00;;;;;;
10:20;;;;;;;;10:20;;;;;;
10:40;;;;;;;;10:40;;;;;;
11:00;;;;;;;;11:00;;;;;;
11:20;;;;;;;;11:20;;;;;;
11:40;;;;;;;;11:40;;;;;;
12:00;;;;;;;;12:00;;;;;;
12:20;;;;;;;;12:20;;;;;;
12:40;;;;;;;;12:40;;;;;;
13:00;;;;;;;;13:00;;;;;;
13:20;;;;;;;;13:20;;;;;;
13:40;;;;;;;;13:40;;;;;;
14:00;;"Oftalmologia    P. Mejias    ""14:00 a 18:15""";;;;;;14:00;;;;;;
14:20;;;;;;;;14:20;;;;;;
14:40;;;"Oftalmologia  German Brieba ""14:30 a 19:00""";;;;;14:40;;;;;;
15:00;"Oftalmologia    P. Mejias    ""15:00 a 18:15""";;;"Oftalmologia    P. Mejias    ""15:00 a 18:15""";;;;15:00;"Otorrino           Cl. Dentone ""15:00 a 19:00"" ";"Otorrino           Cl. Dentone ""15:00 a 19:00""";;"Otorrino           Cl. Dentone ""15:00 a 19:00"" ";;
15:20;;;;;;;;15:20;;;;;;
15:40;;;;;;;;15:40;;;;;"Otorrino  M. Bugueño  ""15:30 a 19:30""  // ALFREDO URRUTIA SOLO POR 24/5 16:00 A 19:45";
16:00;;;;;;;;16:00;;;;;;
16:20;;;;;;;;16:20;;;;;;
16:40;;;;;;;;16:40;;;;;;
17:00;;;;;;;;17:00;;;;;;
17:20;;;;;;;;17:20;;;;;;
17:40;;;;;;;;17:40;;;;;;
18:00;;;;;;;;18:00;;;;;;
18:20;;;;;;;;18:20;;;;;;
18:40;;;;;;;;18:40;;;;;;
19:00;;;;;;;;19:00;;;;;;
19:20;;;;;;;;19:20;;;;;;
19:40;;;;;;;;19:40;;;;;;
20:00;;;;;;;;20:00;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BOX 416;Procedimientos exclusivo de Otorrino. Anexo      .;;;;;;;BOX 417;Consulta Otorrino. Anexo 3917.;;;;;
;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO;;;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO
8:15;;;;;;;;8:15;;;;;;
8:40;;;;;;;;8:40;"Otorrino A. Urrutia ""08:30 a 13:00""";;;"Otorrino G. Benaventa ""08:30 a 13:30""";;ALFREDO URRUTIA SOLO 18/5
9:00;;;;;;;;9:00;;"Otorrino           R. Iracheta   ""09:00 a 13:00""";"Otorrino R. Iracheta ""09:00 a 12:30""";;;
9:20;;;;;;;;9:20;;;;;;
9:40;;;;;;;;9:40;;;;;;
10:00;;;;;;;;10:00;;;;;;
10:20;;;;;;;;10:20;;;;;;
10:40;;;;;;;;10:40;;;;;;
11:00;;;;;;;;11:00;;;;;;
11:20;;;;;;;;11:20;;;;;;
11:40;;;;;;;;11:40;;;;;;
12:00;;;;;;;;12:00;;;;;;
12:20;;;;;;;;12:20;;;;;;
12:40;;;;;;;;12:40;;;;;;
13:00;;;;;;;;13:00;;;;;;
13:20;;;;;;;;13:20;;;;;;
13:40;;;;;;;;13:40;;;;;;
14:00;;;;;;;;14:00;"Otorrino A. Urrutia ""14:00 a 19:00""";"Otorrino A. Urrutia ""14:00 a 19:00""";"Otorrino A. Urrutia ""14:00 a 19:00""";"Otorrino G. Benaventa ""14:00 a 15:30""";"Otorrino           E. Adams ""14:00 a 18:00"" ";
14:20;;;;;;;;14:20;;;;;;
14:40;;;;;;;;14:40;;;;;;
15:00;;;;;;;;15:00;;;;;;
15:20;;;;;;;;15:20;;;;;;
15:40;;;;;;;;15:40;;;;;;
16:00;;;;;;;;16:00;;;;;;
16:20;;;;;;;;16:20;;;;;;
16:40;;;;;;;;16:40;;;;;;
17:00;;;;;;;;17:00;;;;;;
17:20;;;;;;;;17:20;;;;;;
17:40;;;;;;;;17:40;;;;;;
18:00;;;;;;;;18:00;;;;;;
18:20;;;;;;;;18:20;;;;;;
18:40;;;;;;;;18:40;;;;;;
19:00;;;;;;;;19:00;;;;;;
19:20;;;;;;;;19:20;URRUTIA 06/5 Y 13/5 A 19:45;;URRUTIA 8/5 Y 15/5 A 19:45;;;
19:40;;;;;;;;19:40;;;;;;
20:00;;;;;;;;20:00;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BOX 418;SALA OTORRINO;;;;;;;BOX 419;OFICINA JANISSE;;;;;
;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO;;;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO
8:15;;;;;;;;8:15;OFICINA JANISSE;;;;;
8:40;;;;;;;;8:40;;;;;;
9:00;;;;;;;;9:00;;;;;;
9:20;;;;;;;;9:20;;;;;;
9:40;;;;;;;;9:40;;;;;;
10:00;;;;;;;;10:00;;;;;;
10:20;;;;;;;;10:20;;;;;;
10:40;;;;;;;;10:40;;;;;;
11:00;;;;;;;;11:00;;;;;;
11:20;;;;;;;;11:20;;;;;;
11:40;;;;;;;;11:40;;;;;;
12:00;;;;;;;;12:00;;;;;;
12:20;;;;;;;;12:20;;;;;;
12:40;;;;;;;;12:40;;;;;;
13:00;;;;;;;;13:00;;;;;;
13:20;;;;;;;;13:20;;;;;;
13:40;;;;;;;;13:40;;;;;;
14:00;;;;;;;;14:00;;;;;;
14:20;;;;;;;;14:20;;;;;;
14:40;;;;;;;;14:40;;;;;;
15:00;;;;;;;;15:00;;;;;;
15:20;;;;;;;;15:20;;;;;;
15:40;;;;;;;;15:40;;;;;;
16:00;;;;;;;;16:00;;;;;;
16:20;;;;;;;;16:20;;;;;;
16:40;;;;;;;;16:40;;;;;;
17:00;;;;;;;;17:00;;;;;;
17:20;;;;;;;;17:20;;;;;;
17:40;;;;;;;;17:40;;;;;;
18:00;;;;;;;;18:00;;;;;;
18:20;;;;;;;;18:20;;;;;;
18:40;;;;;;;;18:40;;;;;;
19:00;;;;;;;;19:00;;;;;;
19:20;;;;;;;;19:20;;;;;;
19:40;;;;;;;;19:40;;;;;;
20:00;;;;;;;;20:00;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BOX 420; CONSULTA DERMATOLOGIA;;;;;;;BOX 421; CONSULTA DERMATOLOGIA;;;;;
;;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO;;;;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO
8:15;;;;;;;;8:15;;;;;;
8:40;;;;;;;;8:40;;;;;;
9:00;;;dermatologia Silvina Maldonado  09:00 a 15:30;dermatologia Silvina Maldonado  09:00 a 15:30;;;;9:00;;;;;;
9:20;;;;;;MALDONADO SOLO POR 11/5 9:15 A 13:00;;9:20;;;;;;
9:40;;;;;;;;9:40;;;;;;
10:00;;;;;;;;10:00;;;;;;
10:20;;;;;;;;10:20;;;;;;
10:40;;;;;;;;10:40;;;;;;
11:00;;;;;;;;11:00;;;;;;
11:20;;;;;;;;11:20;;;;;;
11:40;;;;;;;;11:40;;;;;;
12:00;;;;;;;;12:00;;;;;;
12:20;;;;;;;;12:20;;;;;;
12:40;;;;;;;;12:40;;;;;;
13:00;;;;;;;;13:00;;;;;;
13:20;;;;;;;;13:20;;;;;;
13:40;;;;;;;;13:40;;;;;;
14:00;;;;;;;;14:00;;;;;;
14:20;;;;;;;;14:20;;;;;;
14:40;;;;;;;;14:40;;;;;;
15:00;;;;;;;;15:00;;;;;;
15:20;;;;;;;;15:20;;;;;;
15:40;;;;;;;;15:40;;;;;;
16:00;;;;;;;;16:00;;;;;;
16:20;;;;;;;;16:20;;;;;;
16:40;;;;;;;;16:40;;;;;;
17:00;;;;;;;;17:00;;;;;;
17:20;;;;;;;;17:20;;;;;;
17:40;;;;;;;;17:40;;;;;;
18:00;;;;;;;;18:00;;;;;;
18:20;;;;;;;;18:20;;;;;;
18:40;;;;;;;;18:40;;;;;;
19:00;;;;;;;;19:00;;;;;;
19:20;;;;;;;;19:20;;;;;;
19:40;;;;;;;;19:40;;;;;;
20:00;;;;;;;;20:00;;;;;;
;;;;;;;;;;;;;;
BOX 421;PROCEDIMIENTO DERMATOLOGIA Y COLPOSCOPIA;;;;;;;;;;;;;
;;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO;;;;;;;;
8:15;;;;;;;;;;;;;;
8:40;;;;;;;;;;;;;;
9:00;"Colposcopia C. Besio ""09:00 a 11:20""";;;;;;;;;;;;;
9:20;;;;;;;;;;;;;;
9:40;;;;;;;;;;;;;;
10:00;;;;;;;;;;;;;;
10:20;;;;;;;;;;;;;;
10:40;;;;;;;;;;;;;;
11:00;;;;;;;;;;;;;;
11:20;;;;;;;;;;;;;;
11:40;;;;;;;;;;;;;;
12:00;;;;;;;;;;;;;;
12:20;;;;;;;;;;;;;;
12:40;;;;;;;;;;;;;;
13:00;;;;;;;;;;;;;;
13:20;;;;;;;;;;;;;;
13:40;;;;;;;;;;;;;;
14:00;;;;;"Colposcopia   P. Torres ""14:00 a 16:00""";;;;;;;;;
14:20;;;;;;;;;;;;;;
14:40;;;;;;;;;;;;;;
15:00;;;"Colposcopia S. Clerc ""15:00 a 17:00""";;;;;;;;;;;
15:20;;;;;;;;;;;;;;
15:40;;;;;;;;;;;;;;
16:00;;"Colposcopia Ibacache ""16:00 a 18:00""";;;;;;;;;;;;
16:20;;;;;;;;;;;;;;
16:40;;;;;;;;;;;;;;
17:00;;;;;;;;;;;;;;
17:20;;;;;;;;;;;;;;
17:40;;;;;;;;;;;;;;
18:00;;;;;;;;;;;;;;
18:20;;;;;;;;;;;;;;
18:40;;;;;;;;;;;;;;
19:00;;;;;;;;;;;;;;
19:20;;;;;;;;;;;;;;
19:40;;;;;;;;;;;;;;
20:00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
