,,,,DICIEMBRE 2021.,,,,ENERO 2022.,,,,FEBRERO 2022.,,,,MARZO 2022.,,,,ABRIL 2022.,,,,MAYO 2022.,,,,JUNIO 2022.,,,,JULIO 2022.,,,,AGOSTO 2022.,,,,SEPTIEMBRE 2022.,,,,OCTUBRE 2022.,,,,NOVIEMBRE 2022.,,,,DICIEMBRE 2022.,,,
5,Ginecologia,Quirurgica,Ricardo Trewhela,37,485,10,1907,36,480,40,1882,36,481,55,1887,34,461,55,1819,36,481,15,1897,38,483,55,1897,39,489,55,1922,39,484,40,1901,39,484,40,1901,39,484,10,1899,39,478,55,1878,39,474,30,1846,39,478,45,1864
12,Hematologia Adulto,N/Quir,,2,17,0,51,2,17,0,51,2,17,0,51,2,17,0,51,2,19,0,57,2,22,0,66,2,22,0,66,2,22,0,66,3,35,0,118,3,35,0,118,3,35,0,118,3,35,0,118,3,35,0,118
6,Hematologia Infantil,N/Quir,Eduardo Jerez,2,8,0,29,1,5,0,20,1,5,0,20,1,5,0,20,1,5,0,20,1,5,0,20,1,5,0,20,1,5,0,20,1,5,0,20,1,5,0,20,1,5,0,20,1,5,0,20,1,5,0,20
12,Infectologia Adulto,N/Quir,Ignacio Rodriguez,2,6,0,18,2,6,0,18,2,6,0,18,2,6,0,18,2,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Infectologia Infantil,N/Quir,Eduardo Jerez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Medicina General Adulto,N/Quir,Cristian Gabella,9,241,30,966,9,241,30,966,9,261,45,1047,9,271,45,1087,9,271,45,1087,9,271,45,1087,9,271,45,1087,9,271,45,1087,9,271,45,1087,9,264,15,1057,9,264,15,1057,9,264,30,1058,9,264,30,1058
9,Medicina Interna,N/Quir,,2,26,40,84,2,26,40,84,2,26,40,84,3,39,10,134,3,44,40,156,3,50,40,180,3,50,40,180,3,50,40,180,3,50,40,180,2,46,40,164,2,46,40,164,2,46,10,162,3,46,10,162
9,Nefrologia Adulto,N/Quir,,2,16,0,48,2,16,0,48,2,16,0,48,2,16,0,48,2,16,0,48,2,13,0,39,2,13,0,39,2,13,0,39,2,13,0,39,2,13,0,39,2,13,0,39,2,13,0,39,2,13,0,39
6,nefrologia Infantil,N/Quir,Eduardo Jerez,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,8,0,24,1,8,0,24
6,Neonatologia,N/Quir,Eduardo Jerez,3,10,0,30,3,10,0,30,3,10,0,30,3,10,0,30,3,10,0,30,2,8,0,24,2,8,0,24,2,8,0,24,2,8,0,24,2,8,0,24,2,8,0,24,2,8,0,24,2,8,0,24
12,Neurocirugia Adulto,Quirurgica,Adrian Zarate,8,24,30,91,7,21,30,82,7,21,30,82,7,19,0,72,7,19,0,72,8,24,20,88,8,24,20,88,7,21,20,76,6,19,50,70,6,19,50,70,6,21,50,80,7,25,50,92,7,25,50,92
8,Neurologia Adulto,N/Quir,Alex Espinoza,9,151,20,475,9,144,20,454,8,128,20,406,8,125,0,396,8,125,0,396,8,125,0,396,8,125,0,396,8,124,0,393,8,124,0,393,7,118,0,375,7,118,0,375,7,118,0,375,7,118,0,375
6,Neurologia Infantil,N/Quir,Eduardo Jerez,5,58,30,160,5,60,0,163,5,58,40,159,5,58,40,159,5,58,40,172,4,45,40,133,4,45,40,133,4,44,40,130,4,44,40,130,4,44,40,130,4,44,40,130,2,32,0,96,2,32,0,96
8,Nutricion Adulto e Infantil,N/Med.,angelica Mackay,8,123,40,371,8,123,40,371,8,123,40,371,8,121,0,360,8,121,0,360,8,128,20,382,8,128,20,382,8,128,20,382,9,132,0,393,9,130,40,389,9,132,0,393,9,132,0,393,9,132,0,393
12,Nutriologia Adulto,N/Quir,Denisse Goldenberg,6,51,0,153,5,47,40,143,5,47,40,143,5,47,40,143,5,51,40,155,4,40,40,122,4,40,40,122,5,44,40,134,5,44,40,134,5,45,40,137,4,38,20,115,5,58,0,174,5,60,0,180
4,Oftalmologia Adulto e Infantil,Quirurgica,Christian Duran,9,117,0,463,8,112,30,445,8,112,30,445,8,112,0,443,9,125,30,497,9,125,0,495,9,125,0,495,9,125,0,495,9,124,40,494,9,124,40,494,9,124,40,494,9,131,25,521,9,138,40,550
7,Oncologia y cuidados paliativos,N/Quir,,7,49,30,99,7,50,15,98,7,50,15,98,8,55,15,108,8,54,0,103,6,47,15,92,6,47,15,92,6,47,15,92,5,43,30,87,5,43,30,87,5,43,30,87,6,47,30,95,6,47,30,95
4,Otorrinolaringologia Adulto e Infantil,Quirurgica,Alfredo Urrutia,8,123,0,478,8,123,0,478,8,123,0,478,8,120,30,468,8,120,30,468,8,119,0,462,8,119,0,462,8,119,0,462,8,119,0,462,7,92,30,356,8,106,15,411,8,106,15,411,8,106,15,411
6,Pediatria y Medicina gneral Infantil,N/Quir,Eduardo Jerez,13,197,10,767,13,197,10,767,14,207,30,798,14,212,50,814,14,212,50,814,13,200,10,768,14,197,30,733,13,188,35,710,13,185,20,697,13,198,5,753,13,205,30,758,13,205,30,758,13,204,30,754
12,"Psicologia Adulto, infantil y Oncologico  Psicopedagogia",N/Med.,Solange Miller,11,139,45,276,11,139,45,276,11,145,15,287,10,140,15,277,10,149,30,299,10,149,30,299,12,185,0,356,12,193,0,372,12,194,30,380,12,194,30,380,11,187,0,374,11,187,0,374,11,187,0,374
8,Neuropsicologia,N/Med.,,1,4,30,6,1,4,30,6,1,4,30,6,1,4,30,6,1,4,30,6,1,4,30,6,1,9,0,18,1,9,0,18,1,9,0,18,1,9,0,18,,,,,,,,,,,,
8,Reumatologia,N/Quir,Luisa Donaire,3,45,0,135,3,45,0,135,3,45,0,135,3,44,0,132,3,44,0,132,3,44,0,132,3,44,0,132,3,44,0,132,3,44,0,132,3,44,0,132,3,44,0,132,3,44,0,132,3,44,0,132
9,Traumatologia Adulto e Infantil,Quirurgica,Marcelo Costa,50,510,45,1984,51,502,10,1955,52,540,55,2110,52,541,25,2112,51,546,15,2126,50,533,25,2075,49,527,25,2051,49,527,5,2050,51,546,10,2117,53,566,20,2197,52,565,20,2189,52,562,20,2177,53,589,20,2285
10,Urologia Adulto,Quirurgica,Oscar Storme,13,142,30,570,13,142,30,570,14,152,0,608,14,152,0,608,14,146,45,587,14,146,45,587,14,147,15,589,14,147,15,589,14,147,15,589,14,148,45,595,14,148,15,593,14,148,15,593,14,148,15,593
